season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2014,2013-10-29,True,False,chi,mia,95,107,15,18,25,37,0,17,37,24,29,0,home,5.0,188.5,180.0,-220.0,3.5,93.5,1.0,1,True
2014,2013-10-29,True,False,lac,lal,103,116,30,27,22,24,0,28,27,20,41,0,away,9.5,202.5,-575.0,435.0,5.5,103.0,0.0,1,True
2014,2013-10-29,True,False,orl,ind,87,97,18,26,20,23,0,23,17,29,28,0,home,12.0,188.5,675.0,-1025.0,9.5,94.5,0.0,0,True
2014,2013-10-30,True,False,lal,gs,94,125,16,24,23,31,0,26,33,37,29,0,home,12.5,206.0,690.0,-1090.0,1.5,101.5,1.0,1,True
2014,2013-10-30,True,False,den,sac,88,90,22,23,27,16,0,25,23,22,20,0,home,2.5,203.5,120.0,-140.0,0.5,101.5,0.0,0,True
2014,2013-10-30,True,False,atl,dal,109,118,28,27,24,30,0,33,20,33,32,0,home,6.0,196.0,205.0,-245.0,5.0,98.5,1.0,1,True
2014,2013-10-30,True,False,por,phx,91,104,16,30,23,22,0,30,20,31,23,0,away,5.5,197.5,-215.0,180.0,6.0,98.5,0.0,0,True
2014,2013-10-30,True,False,okc,utah,101,98,29,28,24,20,0,29,19,25,25,0,away,6.5,191.5,-275.0,225.0,0.5,93.5,0.0,1,False
2014,2013-10-30,True,False,mem,sa,94,101,20,7,31,36,0,18,30,24,29,0,home,6.0,189.0,210.0,-250.0,3.0,92.5,1.0,1,True
2014,2013-10-30,True,False,ind,no,95,90,14,22,23,36,0,24,26,16,24,0,home,1.5,187.5,100.0,-120.0,3.5,95.5,0.0,0,False
2014,2013-10-30,True,False,bkn,cle,94,98,26,22,22,24,0,27,22,30,19,0,away,3.0,194.0,-155.0,135.0,3.0,98.0,0.0,0,True
2014,2013-10-30,True,False,cha,hou,83,96,19,20,22,22,0,17,28,22,29,0,home,13.0,200.0,1030.0,-1630.0,6.0,98.0,2.0,0,True
2014,2013-10-30,True,False,mil,ny,83,90,18,13,33,19,0,24,32,18,16,0,home,8.0,196.5,290.0,-360.0,2.0,97.0,0.0,0,True
2014,2013-10-30,True,False,wsh,det,102,113,22,21,30,29,0,24,31,26,32,0,home,2.5,189.0,120.0,-140.0,3.0,93.0,1.0,1,True
2014,2013-10-30,True,False,bos,tor,87,93,26,11,34,16,0,21,28,22,22,0,home,8.0,189.5,305.0,-385.0,1.5,93.5,0.0,0,True
2014,2013-10-30,True,False,mia,phi,110,114,14,35,45,16,0,33,18,34,29,0,away,9.5,195.0,-795.0,495.0,9.0,96.5,0.0,1,True
2014,2013-10-30,True,False,orl,min,115,120,27,25,28,23,12,38,22,27,16,17,home,10.5,199.0,495.0,-795.0,4.0,100.0,0.0,1,True
2014,2013-10-31,True,False,ny,chi,81,82,16,22,23,20,0,26,17,28,11,0,home,7.5,188.0,290.0,-350.0,3.0,93.5,0.0,0,True
2014,2013-10-31,True,False,gs,lac,115,126,28,27,25,35,0,36,32,25,33,0,home,6.0,205.5,210.0,-250.0,2.0,103.5,1.0,1,True
2014,2013-11-01,True,False,mia,bkn,100,101,18,29,20,33,0,27,20,31,23,0,away,4.0,195.0,-170.0,150.0,3.0,97.5,0.0,1,True
2014,2013-11-01,True,False,por,den,113,98,24,40,27,22,0,22,28,21,27,0,home,4.5,198.0,165.0,-190.0,6.5,99.0,0.0,1,False
2014,2013-11-01,True,False,okc,min,81,100,19,20,21,21,0,34,25,29,12,0,home,2.0,201.0,115.0,-135.0,4.5,99.5,1.0,0,True
2014,2013-11-01,True,False,lac,sac,110,101,24,30,25,31,0,22,23,32,24,0,away,3.5,203.0,-165.0,145.0,0.5,100.5,1.0,1,False
2014,2013-11-01,True,False,sa,lal,91,85,16,25,22,28,0,23,19,19,24,0,away,7.0,208.5,-345.0,285.0,6.0,105.0,0.0,0,False
2014,2013-11-01,True,False,utah,phx,84,87,23,23,16,22,0,29,14,20,24,0,home,3.0,195.5,135.0,-155.0,3.0,99.0,2.0,0,True
2014,2013-11-01,True,False,det,mem,108,111,21,20,28,26,13,17,30,20,28,16,home,7.5,189.5,275.0,-335.0,2.0,94.0,0.0,1,True
2014,2013-11-01,True,False,mil,bos,105,98,16,31,24,34,0,29,34,20,15,0,home,2.5,185.5,120.0,-140.0,3.0,91.5,0.0,1,False
2014,2013-11-01,True,False,tor,atl,95,102,24,15,29,27,0,25,24,30,23,0,home,3.5,195.0,140.0,-160.0,1.5,95.0,1.0,1,True
2014,2013-11-01,True,False,phi,wsh,109,102,21,23,30,35,0,33,21,20,28,0,home,9.5,201.0,405.0,-530.0,2.0,99.0,0.0,1,False
2014,2013-11-01,True,False,cle,cha,84,90,23,26,17,18,0,30,24,21,15,0,away,3.5,188.0,-165.0,145.0,3.5,94.0,0.0,0,True
2014,2013-11-01,True,False,no,orl,90,110,20,15,25,30,0,22,31,32,25,0,away,4.0,193.5,-175.0,155.0,6.5,97.0,0.0,1,True
2014,2013-11-01,True,False,dal,hou,105,113,22,28,22,33,0,38,23,24,28,0,home,6.5,207.0,230.0,-280.0,0.0,104.0,1.0,1,True
